S. No.,Questions,Type
1,Company or organization name,JEE
2,Company or organization location (we welcome applicants from anywhere in the world),JEE
3,Name(s) of primary point(s) of contact for this application,JEE
4,Brief company or organization description,JEE
5,Project Overview,JEE
6,"a. Describe how the proposed technology removes CO2 
from the atmosphere, including as many details as possible. Discuss location(s) and scale. 
Please include figures and system schematics. Tell us why your system is best-in-class, and 
how you’re differentiated from any other organization working on a similar technology.",JEE
7,b. What is the current technology readiness level (TRL)? Please include performance and stability data that you’ve already generated (including at what scale) to substantiate the status of your tech.,JEE
8," c. What are the key performance parameters that differentiate your technology (e.g. energy intensity,
 reaction kinetics, cycle time, volume per X, quality of Y output)? What is your current measured value
 and what value are you assuming in your nth-of-a-kind (NOAK) TEA?
(Key performance parameter, Current observed value (units), Value assumed in NOAK TEA (units),
 Why is it feasible to reach the NOAK value?)",JEE
9,"d. Who are the key people at your company who will be working on this? What experience do they have
 with relevant technology and project development? What skills do you not yet have on the team today
 that you are most urgently looking to recruit?",JEE
10," e. Are there other organizations you’re partnering with on this project (or need to partner with in order to
 be successful)? If so, list who they are, what their role in the project is, and their level of commitment
 (e.g., confirmed project partner, discussing potential collaboration, yet to be approached, etc.)
(Partner, Role in the Project, Level of Commitment).",JEE
11," f. What is the total timeline of your proposal from start of development to end of CDR delivery? If you’re
 building a facility that will be decommissioned, when will that happen?",JEE
12,"g. When will CDR occur (start and end dates)? If CDR does not occur uniformly over that time period,
 describe the distribution of CDR over time. Please include the academic publications, field trial data, or
 other materials you use to substantiate this distribution.",JEE
13," h. Please estimate your gross CDR capacity over the coming years (your total capacity, not just for this
 proposal)
(Year, Estimated gross CDR capacity (tonnes))",JEE
14," i. List and describe at least three key milestones for this project (including prior to when CDR starts), that
 are needed to achieve the amount of CDR over the proposed timeline.
(S,no, milestone description, Target completion date)",JEE
15," j. What is your IP strategy? Please link to relevant patents, pending or granted, that are available publicly
 (if applicable).",JEE
16, k. How are you going to finance this project?,JEE
17," l. Do you have other CDR buyers for this project? If so, please describe the anticipated purchase volume
 and level of commitment (e.g., contract signed, in active discussions, to be approached, etc.)",JEE
18," m. What other revenue streams are you expecting from this project (if applicable)? Include the source of
 revenue and anticipated amount. Examples could include tax credits and co-products.",JEE
19," n. Identify risks for this project and how you will mitigate them. Include technical, project execution,
 ecosystem, financial, and any other risks.
(Risk, Mitigation strategy)",JEE
20,Durability,JEE
21," a. Describe how your approach results in permanent CDR (> 1,000 years). Include citations to
 scientific/technical literature supporting your argument. What are the upper and lower bounds on your
 durability estimate?",JEE
22," b. What durability risks does your project face? Are there physical risks (e.g. leakage, decomposition and
 decay, damage, etc.)? Are there socioeconomic risks (e.g. mismanagement of storage, decision to
 consume or combust derived products, etc.)? What fundamental uncertainties exist about the underlying
 technological or biological process?",JEE
23,Gross Removal & Life Cycle Analysis (LCA),JEE
24," a. How much GROSS CDR will occur over this project’s timeline? All tonnage should be described inmetric
 tonnesof CO2
 here and throughout the application.Tell us how you calculated this value (i.e., show your
 work). If you have uncertainties in the amount of gross CDR, tell us where they come from.",JEE
25,Gross tonnes of CDR over project lifetime,JEE
26,Describe how you calculated that value,JEE
27," b. How many tonnes of CO2
 have you captured and storedto date? If relevant to your technology (e.g.,
 DAC), please list captured and stored tons separately",JEE
28,"c. If applicable, list any avoided emissions that result from your project. For carbon mineralization in
 concrete production, for example, removal would be the CO₂ utilized in concrete production and
 avoided emissions would be the emissions reductions associated with traditional concrete production.
 Do not include this number in your gross or net CDR calculations; it’s just to help us understand potential
 co-benefits of your approach.",JEE
29," d. How many GROSS EMISSIONS will occur over the project lifetime? Divide that value by the gross CDR to
 get the emissions / removal ratio. Subtract it from the gross CDR to get the net CDR for this project.",JEE
30,"Gross project emissions over the project timeline (should correspond to the boundary conditions
 described below this table)",JEE
31,"Emissions / removal ratio (gross project emissions / gross CDR–must be less than
 one for net-negative CDR systems)",JEE
32,Net CDR over the project timeline (gross CDR - gross project emissions),JEE
33," e. Provide a process flow diagram (PFD) for your CDR solution, visualizing the project emissions numbers
 above. This diagram provides the basis for your life cycle analysis (LCA). Some notes:
 ● The LCA scope should be cradle-to-grave
 ● For each step in the PFD, include all Scope 1-3 greenhouse gas emissions on a CO2 
equivalent
 basis
 ● Do not include CDR claimed by another entity (no double counting)
 ● For assistance, please:
 ○ Review the diagram below from the CDR Primer, Charm’s application from 2020 for a
 simple example, or CarbonCure’s for a more complex example
 ○ See University of Michigan’s Global CO2 
Initiative resource guide
 ● If you’ve had a third-party LCA performed, please link to it.",JEE
34," f. Please articulate and justify the boundary conditions you assumed above: why do your calculations and
 diagram include or exclude different components of your system?",JEE
35,"g. Please justify all numbers used to assign emissions to each process step depicted in your diagram
 above.  Are they solely modeled or have you measured them directly? Have they been independently
 measured? Your answers can include references to peer-reviewed publications
(Process Step, CO2 (eq) emissions over the project lifetime (metric tonnes), Describe how you calculated 
that number. Include references where appropriate.)",JEE
36,"Measurement, Reporting, and Verification (MRV)
 Above section captures a project’s lifecycle emissions, which is one of a number of MRV considerations. In this
 section, we are looking for additional details on your MRV approach, with a particular focus on the ongoing
 quantification of carbon removal outcomes and associated uncertainties",JEE
37," a. Describe your ongoing approach to quantifying the CDR of your project, including methodology, what
 data is measured vs modeled, monitoring frequency, and key assumptions. If you plan to use an existing
 protocol, please link to it. Please seeCharm’s bio-oilsequestration protocolfor reference, though note
 we do not expect proposals to have a protocol at this depth at the prepurchase stage.",JEE
38," b. How will you quantify the durability of the carbon sequestered by your project discussed in 2(b)? If direct
 measurement is difficult or impossible, how will you rely on models or assumptions, and how will you validate 
those assumptions? (E.g. monitoring of injection sites, tracking biomass state and location,
 estimating decay rates, etc.)",JEE
